"IDno","logpickups"
8687,2.26964714307386
8688,1.28738921884082
8689,1.30547467446707
8690,2.31890422688359
8691,2.08356722033488
8692,2.34351243820913
8693,2.36856947230896
8694,2.99576489633774
8695,3.00595497475305
8696,2.14342254417556
8697,3.03316948433684
8698,1.42400481056504
8699,2.20209735643285
8700,3.10209189219124
8701,2.23955946161374
8702,3.12776024088041
8703,2.26522781030291
8704,1.51230073809263
8705,2.52573029050915
8706,3.15292571453793
8707,2.29039328396043
8708,2.5508934206359
8709,1.55100008568802
8710,2.32909263155583
8711,2.61073446628374
8712,3.23792989031252
8713,2.37539745973502
8714,1.60504248180218
8715,2.38313502766999
8716,1.63836924193885
8717,1.63863202132561
8718,2.65206157374214
8719,3.27925699777092
8720,1.66571566117289
8721,2.67914521358941
8722,1.69909212154834
8723,2.71252167396486
8724,3.33971709799364
8725,2.47718466741615
8726,1.7177324959758
8727,3.3583574724211
8728,2.4958250418436
8729,1.76058195919328
8730,2.7740115116098
8731,3.40120693563858
8732,2.53867450506109
8733,3.43738131181551
8734,2.57484888123801
8735,1.22537619807466
8736,2.86600117451996
8737,2.24260394294372
8738,2.8697993669725
8739,2.26136380449679
8740,2.3090253622161
8741,2.07368835566738
8742,2.3341951878922
8743,2.99311715890567
8744,2.13058472832818
8745,2.15570050174691
8746,1.40617127731654
8747,3.04679625376185
8748,2.18426382318435
8749,1.43768128022883
8750,2.45111083264536
8751,3.07830625667414
8752,2.21577382609664
8753,1.47984625400317
8754,3.12047123044848
8755,2.25793879987098
8756,1.51458960439253
8757,3.15521458083783
8758,1.53430585081309
8759,1.56279938536369
8760,2.57622893778022
8761,3.203424361809
8762,1.58217290503688
8763,3.22279788148219
8764,2.63673657241188
8765,3.26393199644066
8766,1.6517485107764
8767,2.66517806319292
8768,2.42984105664421
8769,3.32053534259286
8770,1.70716836244658
8771,2.7205979148631
8772,3.39699250045149
8773,2.53446006987399
8774,2.80182133697754
8775,2.23150755707487
8776,2.85870298110365
8777,2.89536399952903
8778,2.03283156895153
8779,2.9226560876403
8780,1.3323212534503
8781,2.34575080586683
8782,1.3597508086338
8783,1.36962440866202
8784,2.38305396107854
8785,3.01024938510732
8786,2.14771695452982
8787,1.4113392174459
8788,2.42476876986243
8789,2.18943176331371
8790,1.41637756173998
8791,2.4298071141565
8792,3.05700253818528
8793,2.19447010760778
8794,2.44667461148829
8795,3.07387003551707
8796,2.21133760493957
8797,1.46059862761346
8798,2.47402818002999
8799,2.23869117348127
8800,1.48290607735826
8801,2.49633562977478
8802,2.26099862322607
8803,1.50710042703714
8804,2.52052997945367
8805,3.14772540348245
8806,2.28519297290495
8807,1.52174185628346
8808,2.53517140869999
8809,2.29983440215127
8810,1.54773333562175
8811,2.32582588148956
8812,1.58212602606745
8813,3.22275100251276
8814,2.36021857193526
8815,1.60159356356892
8816,2.61502311598544
8817,3.25514089839929
8818,1.60111167741893
8819,3.24173665386423
8820,2.37920422328673
8821,1.65126179471592
8822,2.66469134713244
8823,2.42935434058372
8824,1.69695538420349
8825,2.71038493662001
8826,3.33758036064879
8827,1.72525852006092
8828,3.36588349650622
8829,2.7588943952012
8830,2.56191607253984
8831,1.11412359054505
8832,2.75474856699035
8833,1.89221613641285
8834,1.13368687810784
8835,2.14711643052436
8836,1.91177942397565
8837,1.12987912395226
8838,2.77050410039756
8839,1.90797166982007
8840,2.18753907833214
8841,2.81473450236092
8842,1.18351484638344
8843,2.82413982282874
8844,2.22527500152137
8845,2.94700901086972
8846,2.90382583353378
8847,1.29369608241553
